title,text
John Carradine,Bluebeard
John Carradine,House of Frankenstein
John Carradine,The Mummy's Ghost
John Carradine,Return of the Ape Man
John Carradine,The Invisible Man's Revenge
John Carradine,House of Dracula
John Carradine,Face of Marble
John Carradine,The Private Affairs of Bel Ami
John Carradine,Johnny Guitar
John Carradine,The Unearthly
John Carradine,The Cosmic Man
John Carradine,Invisible Invaders
John Carradine,Tarzan the Magnificent
John Carradine,Billy the Kid Versus Dracula
John Carradine,They Ran for Their Lives
John Carradine,The Astro-Zombies
John Carradine,Blood of Dracula's Castle
John Carradine,Five Bloody Graves
John Carradine,Blood Legacy
John Carradine,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask
John Carradine,"Silent Night, Bloody Night"
John Carradine,House of Seven Corpses
John Carradine,"Mary, Mary, Bloody Mary"
John Carradine,Shock Waves
John Carradine,The Bees
John Carradine,The Howling
John Carradine,The Nesting
John Carradine,House of the Long Shadows
John Carradine,Monster in the Closet
John Carradine,Evil Spawn
John Carradine,Buried Alive
John Carradine,Bikini Drive-In
Vincent Price,Tower of London
Vincent Price,"Brigham Young, Frontiersman"
Vincent Price,Green Hell
Vincent Price,Dragonwyck
Vincent Price,The Long Night
Vincent Price,Rogues' Regiment
Vincent Price,The Bribe
Vincent Price,House of Wax
Vincent Price,Dangerous Mission
Vincent Price,The Mad Magician
Vincent Price,The Ten Commandments
Vincent Price,The Bat
Vincent Price,The Fall of the House of Usher
Vincent Price,Master of the World
Vincent Price,The Pit and the Pendulum
Vincent Price,Queen of the Nile
Vincent Price,Confessions of an Opium Eater
Vincent Price,Tales of Terror
Vincent Price,Tower of London
Vincent Price,Diary of a Madman
Vincent Price,The Haunted Palace
Vincent Price,Twice-Told Tales
Vincent Price,The Comedy of Terrors
Vincent Price,The Last Man on Earth
Vincent Price,Masque of the Red Death
Vincent Price,The Tomb of Ligeia
Vincent Price,War Gods of the Deep
Vincent Price,Dr. Goldfoot and the Girl Bombs
Vincent Price,Witchfinder General
Vincent Price,More Dead Than Alive
Vincent Price,Scream and Scream Again
Vincent Price,Cry of the Banshee
Vincent Price,The Abominable Dr. Phibes
Vincent Price,Theatre of Blood
Vincent Price,Madhouse
Vincent Price,Journey Into Fear
Vincent Price,Scavenger Hunt
Vincent Price,Dead Men Don't Wear Plaid
Vincent Price,House of the Long Shadows
Vincent Price,Bloodbath at the House of Death
Vincent Price,The Great Mouse Detective
Vincent Price,The Offspring
Vincent Price,Dead Heat
Vincent Price,Edward Scissorhands
Vincent Price,The Thief and the Cobbler
Boris Karloff,The Criminal Code
Boris Karloff,Frankenstein
Boris Karloff,The Mask of Fu Manchu
Boris Karloff,The Mummy
Boris Karloff,Scarface
Boris Karloff,The Ghoul
Boris Karloff,The Black Cat
Boris Karloff,The Lost Patrol
Boris Karloff,The Black Room
Boris Karloff,The Raven
Boris Karloff,The Invisible Ray
Boris Karloff,The Walking Dead
Boris Karloff,West of Shanghai
Boris Karloff,The Man They Could Not Hang
Boris Karloff,Tower of London
Boris Karloff,The Ape
Boris Karloff,Before I Hang
Boris Karloff,Black Friday
Boris Karloff,British Intelligence
Boris Karloff,The Man with Nine Lives
Boris Karloff,You'll Find Out
Boris Karloff,The Devil Commands
Boris Karloff,House of Frankenstein
Boris Karloff,The Body Snatcher
Boris Karloff,Isle of the Dead
Boris Karloff,Bedlam
Boris Karloff,Dick Tracy Meets Gruesome
Boris Karloff,Tap Roots
Boris Karloff,The Strange Door
Boris Karloff,The Black Castle
Boris Karloff,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde
Boris Karloff,Corridors of Blood
Boris Karloff,The Haunted Strangler
Boris Karloff,Frankenstein 1970
Boris Karloff,Black Sabbath
Boris Karloff,The Terror
Boris Karloff,"Die, Monster, Die!"
Boris Karloff,The Ghost in the Invisible Bikini
Boris Karloff,The Sorcerers
Boris Karloff,Dance of Death
Boris Karloff,Mad Monster Party
Boris Karloff,Cauldron of Blood
Boris Karloff,Snake People
John Hurt,The Wild and the Willing
John Hurt,A Man for All Seasons
John Hurt,10 Rillington Place
John Hurt,The Ghoul
John Hurt,East of Elephant Rock
John Hurt,Watership Down
John Hurt,Alien
John Hurt,The Elephant Man
John Hurt,Heaven's Gate
John Hurt,The Plague Dogs
John Hurt,The Osterman Weekend
John Hurt,The Hit
John Hurt,Nineteen Eighty-Four
John Hurt,After Darkness
John Hurt,The Black Cauldron
John Hurt,Jake Speed
John Hurt,Spaceballs
John Hurt,Aria
John Hurt,Little Sweetheart
John Hurt,Scandal
John Hurt,L'Œil qui ment
John Hurt,Even Cowgirls Get the Blues
John Hurt,Monolith
John Hurt,Contact
John Hurt,The Climb
John Hurt,All The Little Animals
John Hurt,You're Dead...
John Hurt,Lost Souls
John Hurt,Tabloid
John Hurt,Pride
John Hurt,Hellboy
John Hurt,Beyond The Gates
John Hurt,The Proposition
John Hurt,V for Vendetta
John Hurt,Outlander
John Hurt,44 Inch Chest
John Hurt,Sailcloth
John Hurt,Tinker Tailor Soldier Spy
John Hurt,Melancholia
John Hurt,Only Lovers Left Alive
John Hurt,Snowpiercer
John Hurt,Hercules
John Hurt,Damascus Cover
Dennis Hopper,Gunfight at the O.K. Corral
Dennis Hopper,The Young Land
Dennis Hopper,The Sons of Katie Elder
Dennis Hopper,Queen of Blood
Dennis Hopper,The Glory Stompers
Dennis Hopper,Hang 'Em High
Dennis Hopper,Easy Rider
Dennis Hopper,True Grit
Dennis Hopper,The Last Movie
Dennis Hopper,Mad Dog Morgan
Dennis Hopper,Apocalypse Now
Dennis Hopper,Bloodbath
Dennis Hopper,Out of the Blue
Dennis Hopper,King of the Mountain
Dennis Hopper,The Osterman Weekend
Dennis Hopper,Blue Velvet
Dennis Hopper,The Texas Chainsaw Massacre 2
Dennis Hopper,Black Widow
Dennis Hopper,The Indian Runner
Dennis Hopper,Paris Trout
Dennis Hopper,Sunset Heat
Dennis Hopper,Red Rock West
Dennis Hopper,Super Mario Bros.
Dennis Hopper,True Romance
Dennis Hopper,Speed
Dennis Hopper,Waterworld
Dennis Hopper,Top of the World
Dennis Hopper,Tycus
Dennis Hopper,EdTV
Dennis Hopper,Bad City Blues
Dennis Hopper,Held for Ransom
Dennis Hopper,Luck of the Draw
Dennis Hopper,Ticker
Dennis Hopper,Unspeakable
Dennis Hopper,Out of Season
Dennis Hopper,House of 9
Dennis Hopper,The Keeper
Dennis Hopper,The Crow: Wicked Prayer
Dennis Hopper,Land of the Dead
Dennis Hopper,10th & Wolf
Dennis Hopper,Sleepwalking
Dennis Hopper,Elegy
Nicolas Cage,The Cotton Club
Nicolas Cage,The Boy in Blue
Nicolas Cage,Vampire's Kiss
Nicolas Cage,Deadfall
Nicolas Cage,Leaving Las Vegas
Nicolas Cage,Face/Off
Nicolas Cage,Christmas Carol: The Movie
Nicolas Cage,Adaptation
Nicolas Cage,Windtalker
Nicolas Cage,The Wicker Man
Nicolas Cage,Next
Nicolas Cage,Bangkok Dangerous
Nicolas Cage,Knowing
Nicolas Cage,Kick-Ass
Nicolas Cage,The Sorcerer's Apprentice
Nicolas Cage,Drive Angry
Nicolas Cage,Season of the Witch
Nicolas Cage,Joe
Nicolas Cage,Outcast
Nicolas Cage,Tokarev
Nicolas Cage,Dying of the light
Nicolas Cage,Dog Eat Dog
Nicolas Cage,The Trust
Nicolas Cage,USS Indianapolis: Men of Courage
Nicolas Cage,Southern Fury
Nicolas Cage,The Humanity Bureau
Nicolas Cage,Between Worlds
Nicolas Cage,A Score to Settle
Nicolas Cage,Color Out of Space
Nicolas Cage,Grand Isle
Nicolas Cage,Running with the Devil
Tom Sizemore,Lock Up
Tom Sizemore,Blue Steel
Tom Sizemore,Harley Davidson and the Marlboro Man
Tom Sizemore,Flight of the Intruder
Tom Sizemore,Heart and Souls
Tom Sizemore,True Romance
Tom Sizemore,Natural Born Killers
Tom Sizemore,Devil in a Blue Dress
Tom Sizemore,Heat
Tom Sizemore,Strange Days
Tom Sizemore,Enemy of the State
Tom Sizemore,Saving Private Ryan
Tom Sizemore,Red Planet
Tom Sizemore,Big Trouble
Tom Sizemore,Dreamcatcher
Tom Sizemore,Zyzzyx Road
Tom Sizemore,Ring Around the Rosie
Tom Sizemore,The Genius Club
Tom Sizemore,Furnace
Tom Sizemore,The Colombian Connection
Tom Sizemore,Visible Scars
Tom Sizemore,Paranormal Movie
Tom Sizemore,Company of Heroes
Tom Sizemore,Five Thirteen
Tom Sizemore,SWAT: Unit 887
Tom Sizemore,6 Ways to Die
Tom Sizemore,Exit 14
Tom Sizemore,Better Criminal
Tom Sizemore,Calico Skies
Tom Sizemore,WEAPONiZED
Tom Sizemore,Wolf Mother
Tom Sizemore,Traded
Tom Sizemore,USS Indianapolis: Men of Courage
Tom Sizemore,Atomica
Tom Sizemore,Bad Frank
Tom Sizemore,The Immortal Wars
Tom Sizemore,Nazi Overlord
Tom Sizemore,Hell Girl
Tom Sizemore,The Pining
Tom Sizemore,Apocalypse of Ice
Tom Sizemore,Alien Conquest
Michael Ironside,Stone Cold Dead
Michael Ironside,Visiting Hours
Michael Ironside,Spacehunter: Adventures in the Forbidden Zone
Michael Ironside,Extreme Prejudice
Michael Ironside,Hello Mary Lou: Prom Night II
Michael Ironside,Nowhere to Hide
Michael Ironside,Watchers
Michael Ironside,Destiny to Order
Michael Ironside,Total Recall
Michael Ironside,Highlander II: The Quickening
Michael Ironside,Black Ice
Michael Ironside,Guncrazy
Michael Ironside,Killer Image
Michael Ironside,The Vagrant
Michael Ironside,Father Hood
Michael Ironside,Marked for Murder
Michael Ironside,Night Trap
Michael Ironside,Save me
Michael Ironside,Starship Troopers
Michael Ironside,The Omega Code
Michael Ironside,Crime and Punishment in Suburbia
Michael Ironside,Heavy Metal 2000
Michael Ironside,Extreme Honor
Michael Ironside,The Shaft
Michael Ironside,Guy X
Michael Ironside,Reeker
Michael Ironside,Surveillance
Michael Ironside,Hardwired
Michael Ironside,Terminator Salvation
Michael Ironside,Ice Soldiers
Michael Ironside,Extraterrestrial
Michael Ironside,The Sin Seer
Michael Ironside,Turbo Kid
Michael Ironside,88
Michael Ironside,Element
Michael Ironside,Stegman Is Dead
Michael Ironside,Alterscape
Michael Ironside,Hellmington
Michael Ironside,Knuckleball
Klaus Kinski,The Avenger
Klaus Kinski,Dead Eyes of London
Klaus Kinski,The Counterfeit Traitor
Klaus Kinski,The Indian Scarf
Klaus Kinski,Last of the Renegades
Klaus Kinski,For a Few Dollars More
Klaus Kinski,Again The Ringer
Klaus Kinski,Circus Of Fear
Klaus Kinski,A Bullet for the General
Klaus Kinski,"Man, Pride and Vengeance"
Klaus Kinski,The Million Eyes Of Sumuru
Klaus Kinski,Grand Slam
Klaus Kinski,If You Meet Sartana...Pray for Your Death
Klaus Kinski,The Great Silence
Klaus Kinski,The Ruthless Four
Klaus Kinski,Twice a Judas
Klaus Kinski,Five for Hell
Klaus Kinski,Venus in Furs
Klaus Kinski,War Fever
Klaus Kinski,Count Dracula
Klaus Kinski,His Name Was King
Klaus Kinski,Showdown for a Bad Man
Klaus Kinski,The Price of Death
Klaus Kinski,"Shoot the Living, Pray for the Dead"
Klaus Kinski,Death Smiles on a Murderer
Klaus Kinski,Shanghai Joe
Klaus Kinski,The Hand that Feeds the Dead
Klaus Kinski,Lover of the Monster
Klaus Kinski,Return of Shanghai Joe
Klaus Kinski,Operation Thunderbolt
Klaus Kinski,Nosferatu the Vampyre
Klaus Kinski,Woyzeck
Klaus Kinski,Venom
Klaus Kinski,Kommando Leopard
Klaus Kinski,Creature
Klaus Kinski,Code Name: Wild Geese
Klaus Kinski,Crawlspace
Klaus Kinski,Cobra Verde
Eric Roberts,Star 80
Eric Roberts,Lonely Hearts
Eric Roberts,Final Analysis
Eric Roberts,The Hard Truth
Eric Roberts,The Specialist
Eric Roberts,The Nature of the Beast
Eric Roberts,The Cable Guy
Eric Roberts,It's My Party
Eric Roberts,Facade
Eric Roberts,Two Shades of Blue
Eric Roberts,TripFall
Eric Roberts,Luck of the Draw
Eric Roberts,The King's Guard
Eric Roberts,Con Games
Eric Roberts,National Security
Eric Roberts,Killer Weekend
Eric Roberts,DOA: Dead or Alive
Eric Roberts,The Dark Knight
Eric Roberts,Dark Honeymoon
Eric Roberts,The Butcher
Eric Roberts,Royal Kill
Eric Roberts,The Expendables
Eric Roberts,Hunt to Kill
Eric Roberts,Hansel & Gretel: Warriors of Witchcraft
Eric Roberts,West End
Eric Roberts,Cowboys vs Dinosaurs
Eric Roberts,Dark Moon Rising
Eric Roberts,The Wicked Within
Eric Roberts,A Fatal Obsession
Eric Roberts,Sorority Slaughterhouse
Eric Roberts,Six Gun Savior
Eric Roberts,The Institute
Eric Roberts,Child of Satan
Eric Roberts,Jake's Road
Eric Roberts,Black Wake
Eric Roberts,The Immortal Wars: Resurgence
Eric Roberts,Collision
Eric Roberts,Her Deadly Groom
Eric Roberts,Greatland
Lon Chaney Jr.,Undersea Kingdom
Lon Chaney Jr.,Of Mice and Men
Lon Chaney Jr.,Frontier Marshal
Lon Chaney Jr.,Badlands Of Dakota
Lon Chaney Jr.,The Wolf Man
Lon Chaney Jr.,Ghost of Frankenstein
Lon Chaney Jr.,The Mummy's Tomb
Lon Chaney Jr.,Son of Dracula
Lon Chaney Jr.,House of Frankenstein
Lon Chaney Jr.,The Mummy's Ghost
Lon Chaney Jr.,Pillow of Death
Lon Chaney Jr.,Albuquerque
Lon Chaney Jr.,Only the Valiant
Lon Chaney Jr.,Bushwackers
Lon Chaney Jr.,The Black Castle
Lon Chaney Jr.,Springfield Rifle
Lon Chaney Jr.,Raiders of the Seven Seas
Lon Chaney Jr.,The Big Chase
Lon Chaney Jr.,Passion
Lon Chaney Jr.,"Big House, USA"
Lon Chaney Jr.,The Indian Fighter
Lon Chaney Jr.,I Died a Thousand Times
Lon Chaney Jr.,Not as a Stranger
Lon Chaney Jr.,The Black Sleep
Lon Chaney Jr.,Indestructible Man
Lon Chaney Jr.,The Cyclops
Lon Chaney Jr.,The Alligator People
Lon Chaney Jr.,Witchcraft
Lon Chaney Jr.,Face of the Screaming Werewolf
Lon Chaney Jr.,Welcome to Hard Times
Lon Chaney Jr.,Gallery of Horror
Lon Chaney Jr.,Buckskin
Lon Chaney Jr.,"Spider Baby, or the Maddest Story Ever Told"
Lon Chaney Jr.,Dracula vs. Frankenstein
Hideo Murota,Brutal Tales of Chivlary
Hideo Murota,Rampaging Dragon of the North
Hideo Murota,Ceremony Disbanding
Hideo Murota,Gamblers Farewell
Hideo Murota,Japan Organized Crime Boss
Hideo Murota,Sympathy for the Underdog 
Hideo Murota,Wandering Ginza: She-Cat Gambler
Hideo Murota,Female Convict Scorpion Jailhouse 41
Hideo Murota,Yakuza Wolf
Hideo Murota,Battle Without Honor and Humanity: The Yakuza Papers: Deadly Fight in Hiroshima
Hideo Murota,Zero Woman: Red Handcuffs 
Hideo Murota,Executioner
Hideo Murota,Sister Street Fighter: Hanging by a Thread
Hideo Murota,Violent Streets
Hideo Murota,Gambling Den Heist
Hideo Murota,The Great Jailbreak
Hideo Murota,A Haunted Turkish Bathouse
Hideo Murota,New Battles Without Honor and Humanity 2: Boss's Head
Hideo Murota,Karate Warriors
Hideo Murota,The Bodyguard
Hideo Murota,Okinawa Yakuza War
Hideo Murota,The Yakuza Code Still Lives
Hideo Murota,Karate for Life
Hideo Murota,Karate Bullfighter
Hideo Murota,Doberman Cop
Hideo Murota,Karate Bear Fighter
Hideo Murota,The Shogun's Samurai
Hideo Murota,Hunter in the Dark 
Hideo Murota,The Beast to Die 
Hideo Murota,Samurai Reincarnation
Hideo Murota,The Second Is a Christian
Hideo Murota,Sure Death Revenge
Hideo Murota,Hiruko the Goblin
Hideo Murota,A Legend of Turmoil
Hideo Murota,Original Sin
Hideo Murota,Black Angel Volume 1
Brad Dourif,One Flew Over the Cuckoo's Nest
Brad Dourif,The Eyes of Laura Mars
Brad Dourif,Wise Blood
Brad Dourif,Heaven's Gate
Brad Dourif,Ragtime
Brad Dourif,Dune
Brad Dourif,Impure Thoughts
Brad Dourif,Child's Play 2
Brad Dourif,The Exorcist III
Brad Dourif,Graveyard Shift
Brad Dourif,Hidden Agenda
Brad Dourif,Spontaneous Combustion
Brad Dourif,Child's Play 3
Brad Dourif,Murder Blues
Brad Dourif,Body Parts
Brad Dourif,Critters 4
Brad Dourif,Trauma
Brad Dourif,Death Machine
Brad Dourif,Phoenix
Brad Dourif,Alien: Resurrection
Brad Dourif,Bride of Chucky
Brad Dourif,Cypress Edge
Brad Dourif,Prophecy 3: The Ascent
Brad Dourif,Shadow Hours
Brad Dourif,The Ghost
Brad Dourif,The Lord of the Rings: The Return of the King
Brad Dourif,Seed of Chucky
Brad Dourif,The Hazing
Brad Dourif,Priest
Brad Dourif,Black Box
Brad Dourif,Last Kind Words
Brad Dourif,Blood Shot
Brad Dourif,Cult of Chucky
Brad Dourif,Wildling
Donald Pleasence,The Man Inside
Donald Pleasence,Circus of Horrors
Donald Pleasence,The Flesh and the Fiends
Donald Pleasence,A Story of David: The Hunted
Donald Pleasence,What A Carve Up!
Donald Pleasence,The Great Escape
Donald Pleasence,Dr. Crippen
Donald Pleasence,Fantastic Voyage
Donald Pleasence,Will Penny
Donald Pleasence,Kidnapped
Donald Pleasence,Barry McKenzie Holds His Own
Donald Pleasence,The Mutations
Donald Pleasence,I Don't Want to Be Born
Donald Pleasence,Journey Into Fear
Donald Pleasence,The Devil's Men
Donald Pleasence,Telefon
Donald Pleasence,The Uncanny
Donald Pleasence,Deep Cover
Donald Pleasence,The Pumaman
Donald Pleasence,The Monster Club
Donald Pleasence,Halloween II
Donald Pleasence,Alone in the Dark
Donald Pleasence,Warrior of the Lost World
Donald Pleasence,Master of the Game
Donald Pleasence,Phenomena
Donald Pleasence,Treasure of the Amazon
Donald Pleasence,Specters
Donald Pleasence,American Rickshaw
Donald Pleasence,The House of Usher
Donald Pleasence,Buried Alive
Donald Pleasence,River of Death
Donald Pleasence,Ten Little Indians
Donald Pleasence,Shadows and Fog
Donald Pleasence,Halloween: The Curse of Michael Myers
Donald Pleasence,Halloween H20: 20 Years Later
Donald Pleasence,Halloween
Bela Lugosi,The Veiled Woman
Bela Lugosi,Dracula
Bela Lugosi,White Zombie
Bela Lugosi,Murders in the Rue Morgue
Bela Lugosi,Chandu The Magician
Bela Lugosi,Island Of Lost Souls
Bela Lugosi,The Black Cat
Bela Lugosi,The Mysterious Mr. Wong
Bela Lugosi,The Raven
Bela Lugosi,Phantom Ship
Bela Lugosi,Murder by Television
Bela Lugosi,The Invisible Ray
Bela Lugosi,Shadow of Chinatown
Bela Lugosi,S.O.S. Coast Guard Ch. 12 The Deadly Circle
Bela Lugosi,The Phantom Creeps
Bela Lugosi,Son of Frankenstein
Bela Lugosi,Black Friday
Bela Lugosi,The Devil Bat
Bela Lugosi,The Human Monster
